Kovats.on.DB5,Compound.Name,Source,Data.From
845,isopropyl butanoate,Adams Essential Oil Components,experiment
846,Ethyl 2-methylbutyrate,Flavornet,experiment
847,isopropyl butanoate,Flavornet,experiment
848,(2S)-2-methyl-ethyl ester-butanoic acid,Flavornet,experiment
848,"2-Pentanone, 4-hydroxy-4-methyl-",VOCbinbase,experiment
851,furfuryl alcohol,Flavornet,estimate
851,hexanol,Flavornet,experiment
853,(E)-2-hexenal,Lucero 2009,experiment
853,(E)-2-hexenol,Flavornet,experiment
854,(E)-2-hexenal,Lucero 2009,experiment
854,2-hexenal,Flavornet,experiment
854,"3-Hexen-1-ol, (Z)-",VOCbinbase,experiment
854,ethyl 3-methylbutanoate,Flavornet,experiment
854,E-3-hexenol,Adams Essential Oil Components,experiment
855,(E)-2-hexenal,Lucero 2009,experiment
855,E-2-hexenal,Adams Essential Oil Components,experiment
856,2-hexenal,Flavornet,experiment
856,Z-salvene,Adams Essential Oil Components,experiment
857,(Z)-3-hexenol,Lucero 2009,experiment
857,1-Hexanol,VOCbinbase,experiment
858,(Z)-3-hexenol,Flavornet,experiment
858,ethyl isovalerate,Adams Essential Oil Components,experiment
859,Z-3-hexenol,Adams Essential Oil Components,experiment
861,(Z)-3-hexenol,Lucero 2009,experiment
864,"1-Butanol, 3-methyl-, acetate",VOCbinbase,experiment
866,"2-Hexen-1-ol, (E)-",VOCbinbase,experiment
866,methylbutanone,Flavornet,estimate
867,E-salvene,Adams Essential Oil Components,experiment
868,2-Methyl-3-furanthiol,Flavornet,experiment
868,n-hexanol,Lucero 2009,experiment
869,n-hexanol,Lucero 2009,experiment
869,n-hexanol,Lucero 2009,experiment
871,n-hexanol,Adams Essential Oil Components,experiment
871,methyl tiglate,Adams Essential Oil Components,experiment
872,n-hexanol,Lucero 2009,experiment
873,heptenone,Flavornet,estimate
873,methylbutyric acid,Flavornet,experiment
876,isoamyl acetate,Flavornet,experiment
877,heptanol,Flavornet,experiment
877,isovaleric acid,Flavornet,experiment
878,dimethylthiazole,Flavornet,estimate
880,2-hexenol,Flavornet,estimate
880,2-methylbutyl acetate,Flavornet,experiment
880,propyl butyrate,Flavornet,experiment
881,2-methyl butyl acetate,Adams Essential Oil Components,experiment
882,2-Heptanone,VOCbinbase,experiment
885,3-methyl-3-buten-1-ol acetate,Adams Essential Oil Components,experiment
886,o-picoline,Flavornet,estimate
886,allyl butanoate,Adams Essential Oil Components,experiment
887,Allyl Isothiocyanate,Flavornet,experiment
888,o-xylene,Flavornet,experiment
888,ethyl pent-4-enoate,Adams Essential Oil Components,experiment
889,2-Heptanol,VOCbinbase,experiment
889,4-heptanol,Adams Essential Oil Components,experiment
889,santene,Adams Essential Oil Components,experiment
890,5-hydroxy-pentanal,Adams Essential Oil Components,experiment
892,dimethyl pyrazine,Flavornet,experiment
892,2-heptanone,Adams Essential Oil Components,experiment
893,acetylfuran,Flavornet,estimate
893,styrene,Flavornet,estimate
894,methyl-2-(methylthio)acetate,Flavornet,experiment
895,heptanone,Flavornet,experiment
897,2-methoxy-pyrazine,Adams Essential Oil Components,experiment
898,3-mercapto-2-pentanone,Flavornet,experiment
899,n-heptanal,Lucero 2009,experiment
899,propyl butanoate,Adams Essential Oil Components,experiment
900,ethyl valerate,Flavornet,experiment
900,3-mercapto-2-pentanone,Flavornet,estimate
900,nonane,Lucero 2009,experiment
900,nonane,Flavornet,experiment
900,n-nonane,Adams Essential Oil Components,experiment
901,methyltetrahydrofuranthiol,Flavornet,estimate
901,ethyl pentanoate,Adams Essential Oil Components,experiment
902,4-heptenal,Flavornet,experiment
902,heptanal,Adams Essential Oil Components,experiment
903,heptanal,Flavornet,experiment
904,bornyl methyl ether,Flavornet,estimate
905,dimethyl pyrazine,Flavornet,estimate
907,"2,4-Hexadienal, (E,E)-",VOCbinbase,experiment
907,ethyl pyrazine,Flavornet,estimate
908,santolina triene,Lucero 2009,experiment
909,"2,4-( E, E)-hexadienal",Lucero 2009,experiment
909,methional,Flavornet,experiment
909,butyl propanoate,Adams Essential Oil Components,experiment
909,santolina triene,Adams Essential Oil Components,experiment
910,"2,4-hexadienal",Flavornet,experiment
910,"(E,E)-2,4-hexadienal",Adams Essential Oil Components,experiment
911,4-methylhexanol,Flavornet,estimate
911,"Hexanoic acid, methyl ester",VOCbinbase,experiment
911,pentanoic acid,Flavornet,experiment
912,2-Furfurylthiol,Flavornet,experiment
912,2-Acetylfuran,Adams Essential Oil Components,experiment
912,"2,5-dimethyl pyrazine",Adams Essential Oil Components,experiment
913,dimethyl pyrazine,Flavornet,experiment
913,2-acetyl furan,Adams Essential Oil Components,experiment
913,"2,6-dimethyl pyrazine",Adams Essential Oil Components,experiment
914,1-cyclohexen-3-one,Flavornet,experiment
915,amyl acetate,Adams Essential Oil Components,experiment
916,2-ethyl pyrazine,Adams Essential Oil Components,experiment
