Kovats.on.DB5,Compound.Name,Source,Data.From
1033,limonene,Flavornet,experiment
1034,2-Acetyl pyridine,Adams Essential Oil Components,experiment
1034.6849315069,benzyl-alcohol,marie standards,experiment
1035,"1,8-cineole",Lucero 2009,experiment
1035,"Pyrazine, 2-ethyl-3-methyl-",Flavornet,estimate
1035,2-isobutyl thiazole,Adams Essential Oil Components,experiment
1037,2-acetyl-5-methyl furan,Adams Essential Oil Components,experiment
1037,Z-β-ocimene,Adams Essential Oil Components,experiment
1038,(E)-3-hexenol,Flavornet,estimate
1038,trans-β-Ocimene,Flavornet,experiment
1038,trans-β-Ocimene,VOCbinbase,experiment
1038,benzylmethyl ether,Flavornet,estimate
1038,propyl tiglate,Adams Essential Oil Components,experiment
1039,β-cis-Ocimene,Lucero 2009,experiment
1039,β-cis-Ocimene,Lucero 2009,experiment
1039,benzyl alcohol,Flavornet,experiment
1039,ethyl hydroxybutanoate,Flavornet,estimate
1040,β-cis-Ocimene,Lucero 2009,experiment
1040,3-octen-2-one,Flavornet,experiment
1040,3-octenone,Flavornet,experiment
1040,isopropyl hexanoate,Flavornet,estimate
1040,lavender lactone,Adams Essential Oil Components,experiment
1040,santolina alcohol,Adams Essential Oil Components,experiment
1041,β-cis-Ocimene,Lucero 2009,experiment
1041,β-cis-Ocimene,Lucero 2009,experiment
1041,β-cis-Ocimene,Lucero 2009,experiment
1041,β-cis-Ocimene,Lucero 2009,experiment
1041,acetophenone,Flavornet,experiment
1041,methyl octanoate,Flavornet,experiment
1042,benzene acetaldehyde,Adams Essential Oil Components,experiment
1043,"(Z)-ocimene,",Flavornet,experiment
1043,"1,8-cineole",Lucero 2009,experiment
1043,4-mercapto-4-methyl-2-pentanone,Flavornet,estimate
1043,Butyl 2-methylbutanoate,Flavornet,experiment
1043,2-Isobutylthiazole,Flavornet,experiment
1043,phenylacetaldehyde,Lucero 2009,experiment
1043,phenylacetaldehyde,Lucero 2009,experiment
1043,cis-dihydro-rose oxide,Adams Essential Oil Components,experiment
1044,"Phenol, 2-methyl-",VOCbinbase,experiment
1044,norfuraneol,Flavornet,experiment
1044,phenylacetaldehyde,Lucero 2009,experiment
1044,phenylacetaldehyde,Lucero 2009,experiment
1044,ethyl (E)hex-2-enoate,Adams Essential Oil Components,experiment
1044,2-heptyl acetate,Adams Essential Oil Components,experiment
1045,2-acetylpyrrole,Flavornet,estimate
1045,2-phenylacetaldehyde,VOCbinbase,experiment
1045,phenylacetaldehyde,Lucero 2009,experiment
1045,salicylaldehyde,Adams Essential Oil Components,experiment
1046.3561643836,phenylacetaldehyde,marie standards,experiment
1046.6849315069,β-Ocimene,marie standards,experiment
1047,"5-Heptenal, 2,6-dimethyl-",VOCbinbase,experiment
1047,2-methyl-3-thiophenethiol,Flavornet,estimate
1047,"Pyrazine, 2-ethyl-3-methyl-",Flavornet,estimate
1048,5-isopropyl-2-methylpyrazine,Flavornet,estimate
1049,"2-acetyl-1,4,5,6-tetrahydropyridine",Flavornet,experiment
1049,2-octenal,Flavornet,experiment
1049,dimethylmethoxyfuranone,Flavornet,estimate
1049,phenylethanal,Flavornet,experiment
1050,trans-β-Ocimene,Lucero 2009,experiment
1050,trans-β-Ocimene,Lucero 2009,experiment
1050,E-β-ocimene,Adams Essential Oil Components,experiment
1051,trans-β-Ocimene,Lucero 2009,experiment
1051.4520547945,o-cresol,marie standards,experiment
1052,trans-β-Ocimene,Lucero 2009,experiment
1052,trans-β-Ocimene,Lucero 2009,experiment
1052,trans-β-Ocimene,Lucero 2009,experiment
1052,trans-β-Ocimene,Lucero 2009,experiment
1052,dihydrolinalool,Flavornet,estimate
1052,ocimene,Flavornet,estimate
1053,6(10)-dihydromyrcenol,Flavornet,estimate
1053,β-Phellandrene,Flavornet,experiment
1053,cis-Arbusculone,Adams Essential Oil Components,experiment
1053,dihydro-tagetone,Adams Essential Oil Components,experiment
1055,"2-Octenal, (E)-",VOCbinbase,experiment
1056,dimethylheptenal,Flavornet,estimate
1056,alpha-ocimene,Flavornet,experiment
1056,o-cresol,Adams Essential Oil Components,experiment
1056,pentyl isobutanoate,Adams Essential Oil Components,experiment
1057,bergamal,Adams Essential Oil Components,experiment
1058,isopentyl butanoate,Adams Essential Oil Components,experiment
1059,γ-Terpinene,VOCbinbase,experiment
1059.8356164384,γ-Terpinene,marie standards,experiment
1060,2-octenal,Flavornet,experiment
1060,2-octenal,Flavornet,experiment
1060,1-Octanol,VOCbinbase,experiment
1060,2-Acetyl pyrrole,Adams Essential Oil Components,experiment
1060,trans-decahydro-naphthalene,Adams Essential Oil Components,experiment
1060,γ-Terpinene,Adams Essential Oil Components,experiment
1061,artemisia ketone,Lucero 2009,experiment
1061,γ-Terpinene,Lucero 2009,experiment
1061,γ-Terpinene,Lucero 2009,experiment
1061,γ-Terpinene,Lucero 2009,experiment
1062,artemisia ketone,Flavornet,experiment
1062,γ-Terpinene,Lucero 2009,experiment
1062,γ-Terpinene,Lucero 2009,experiment
1062,γ-Terpinene,Lucero 2009,experiment
1062,Artemisia ketone,Adams Essential Oil Components,experiment
1063,"Benzenemethanol, α-methyl-",Adams Essential Oil Components,experiment
1063,2-butyl thiophene,Adams Essential Oil Components,experiment
1064,"7-Octen-2-ol, 2,6-dimethyl-",VOCbinbase,experiment
1064,5-Norbornene-2-methanol,Adams Essential Oil Components,experiment
1065,"2-methoxy-3,6-dimethylpyrazine",Flavornet,experiment
1065,Acetophenone,Adams Essential Oil Components,experiment
1066,m-cresol,VOCbinbase,experiment
1066,acetophenone,Lucero 2009,experiment
1068,cis-sabinene hydrate,Lucero 2009,experiment
1068,n-octanol,Adams Essential Oil Components,experiment
1068,o-tolualdehyde,Adams Essential Oil Components,experiment
1068.602739726,acetophenone,marie standards,experiment
1069,trans-Linalool oxide (furanoid),VOCbinbase,experiment
1069,acetophenone,VOCbinbase,experiment
1069,cis-sabinene hydrate,Lucero 2009,experiment
1069,cis-sabinene hydrate,Lucero 2009,experiment
1069,dimethylstyrene,Flavornet,estimate
1069,m-tolualdehyde,Adams Essential Oil Components,experiment
1070,(Z)-linalool oxide,Flavornet,experiment
1070,cis-sabinene hydrate,Lucero 2009,experiment
1070,cis-sabinene hydrate,Adams Essential Oil Components,experiment
1071,trans-Arbusculone,Adams Essential Oil Components,experiment
1071.6472833764,n-octanol,Lucero 2009,experiment
1072,n-octanol,Lucero 2009,experiment
1072,octanol,Flavornet,experiment
1072.602739726,linalooloxide,marie standards,experiment
1073,cis-sabinene hydrate,Flavornet,experiment
1073,trans-linalool oxide (furanoid),Adams Essential Oil Components,experiment
1073,"p-mentha-3,8-diene",Adams Essential Oil Components,experiment
1073,5-Norbornene-2-methanol,Adams Essential Oil Components,experiment
1073,trans-dihydro-rose oxide,Adams Essential Oil Components,experiment
1074,cis-Sabinene hydrate,VOCbinbase,experiment
1074,cis-linalool oxide (furanoid),Lucero 2009,experiment
1074,gamma-terpinene,Flavornet,experiment
1074,dihydro myrcenol,Adams Essential Oil Components,experiment
1075,"Benzaldehyde, 4-methyl-",VOCbinbase,experiment
1075,"2-Cyclopenten-1-one, 2-hydroxy-3,4-dimethyl-",Flavornet,experiment
1075,m-cresol,Lucero 2009,experiment
1075,p-cresol,Flavornet,experiment
1076,nonenone,Flavornet,estimate
1076,benzyl formate,Adams Essential Oil Components,experiment
1076,p-cresol,Adams Essential Oil Components,experiment
1077,m-cresol,Adams Essential Oil Components,experiment
1078,"Thiazole, 5-ethyl-2,4-dimethyl-",Flavornet,experiment
1080,dihydromyrcenol,Flavornet,estimate
1080,( Z)-vertocitral C,Adams Essential Oil Components,experiment
1081,2-Thiophenemethanethiol,Flavornet,estimate
1082,"2,5-dimethyl-3-ethylpyrazine",Flavornet,experiment
1082,camphenilone,Adams Essential Oil Components,experiment
1082,p-tolualdehyde,Adams Essential Oil Components,experiment
1083,artemisia alcohol,Lucero 2009,experiment
1083,"Pyrazine, 2-ethyl-3,5-dimethyl-",Flavornet,experiment
1083,allyl hexanoate,Adams Essential Oil Components,experiment
1083,2-acetyl-3-methyl-pyrazine,Adams Essential Oil Components,experiment
1084,artemisia alcohol,Flavornet,experiment
1084,"Pyrazine, 2-ethyl-3,5-dimethyl-",Flavornet,experiment
1084,m-cresol,Flavornet,experiment
1084,"3-Acetyl-2,5-dimethyl furan",Adams Essential Oil Components,experiment
1084,Artemisia alcohol,Adams Essential Oil Components,experiment
1084,2-methoxyethyl benzene,Adams Essential Oil Components,experiment
1085,artemisia alcohol,Lucero 2009,experiment
1085,m-cymenene,Adams Essential Oil Components,experiment
1085,"2-Hexene, 1,1-diethoxy-",Adams Essential Oil Components,experiment
1085,"2,3-diethyl-pyrazine",Adams Essential Oil Components,experiment
1086,"Pyrazine, 2-ethyl-3,5-dimethyl-",Flavornet,experiment
1086,tetramethyl-pyrazine,Adams Essential Oil Components,experiment
1086.8493150685,terpinolene,marie standards,experiment
1087,"3-Hexen-1-ol, propanoate, (Z)-",VOCbinbase,experiment
1087,durene,Flavornet,estimate
1087,maltol,Flavornet,estimate
1087,"p-mentha-2,4(8)-diene",Lucero 2009,experiment
1087,fenchone,Adams Essential Oil Components,experiment
1087,furfuryl propanoate,Adams Essential Oil Components,experiment
1087,cis-linalool oxide (furanoid),Adams Essential Oil Components,experiment
1088,terpinolene,Lucero 2009,experiment
1088,"p-mentha-2,4(8)-diene",Adams Essential Oil Components,experiment
1089,"p-Mentha-1,4(8)-diene",VOCbinbase,experiment
1089,guaiacol,Flavornet,experiment
1089,"p-mentha-2,4(8)diene",Lucero 2009,experiment
1089,terpinolene,Lucero 2009,experiment
1089,terpinolene,Lucero 2009,experiment
1089,terpinolene,Lucero 2009,experiment
1089,terpinolene,Lucero 2009,experiment
1089,2-Acetyl thiophene,Adams Essential Oil Components,experiment
1089,o-guaiacol,Adams Essential Oil Components,experiment
1089,terpinolene,Adams Essential Oil Components,experiment
1090,2-pentylthiophene,Flavornet,estimate
1090,acetylthiophene,Flavornet,experiment
1090,δ-Terpinene,Flavornet,experiment
1090,"p-mentha-2,4(8)-diene",Lucero 2009,experiment
1090,terpinolene,Lucero 2009,experiment
1090,2-nonanone,Adams Essential Oil Components,experiment
1091,methyl benzoate,Lucero 2009,experiment
1091,p-cymenene,Adams Essential Oil Components,experiment
1091,dehydro-linalool,Adams Essential Oil Components,experiment
1091,methyl benzoate,Adams Essential Oil Components,experiment
1091,5-Norbornen-2-yl acetate,Adams Essential Oil Components,experiment
1091,pentyl butanoate,Adams Essential Oil Components,experiment
1092,Linalool,VOCbinbase,experiment
1093,undecane,VOCbinbase,experiment
1093,nonanone,Flavornet,experiment
1093,"6,7-epoxymyrcene",Adams Essential Oil Components,experiment
1093,isobutyl tiglate,Adams Essential Oil Components,experiment
1094,pentyl butanoate,Flavornet,estimate
1094,butyl pentanoate,Adams Essential Oil Components,experiment
1094,5-Norbornen-2-yl acetate,Adams Essential Oil Components,experiment
1095,"3,5-octadienone",Flavornet,experiment
1095,methylthio-pyrazine,Adams Essential Oil Components,experiment
1096,3-nonenal,Flavornet,experiment
1096,methyl benzoate,marie standards,experiment
1096,trans-sabinene hydrate,Lucero 2009,experiment
1096,trans-sabinene hydrate,Lucero 2009,experiment
1097,methyl benzoate,VOCbinbase,experiment
1097,isopropylmethoxypyrazine,Flavornet,experiment
1097,linalool,Lucero 2009,experiment
1097,propyl hexanoate,Flavornet,experiment
1097,6-camphenone,Adams Essential Oil Components,experiment
1097,linalool,Adams Essential Oil Components,experiment
1098,ethyl heptanoate,Adams Essential Oil Components,experiment
1098,trans-sabinene hydrate,Adams Essential Oil Components,experiment
1099,linalool,Lucero 2009,experiment
1099,linalool,Lucero 2009,experiment
1099,linalool,Lucero 2009,experiment
1099,linalool,Lucero 2009,experiment
1099,"2,5-dimethyl styrene",Adams Essential Oil Components,experiment
1099,"2-Hexene, 1,1-diethoxy-",Adams Essential Oil Components,experiment
1099,tetrahydro-linalool,Adams Essential Oil Components,experiment
1099,α-Pinene oxide,Adams Essential Oil Components,experiment
1099.2328767123,linalool,marie standards,experiment
1100,3-nonenal,Flavornet,experiment
1100,"(Z,Z)-3,6-Nonadienal",Flavornet,experiment
1100,ethyl heptylate,Flavornet,experiment
1100,linalool,Flavornet,experiment
1100,undecane,Flavornet,experiment
1100,ipsenol,Adams Essential Oil Components,experiment
1100,isopentyl 2-methyl butanoate,Adams Essential Oil Components,experiment
1100,3-methyl butyl 2-methyl butanoate,Adams Essential Oil Components,experiment
1100,cis-decahydro-naphthalene,Adams Essential Oil Components,experiment
1100,n-undecane,Adams Essential Oil Components,experiment
1101,2-methyl-2-(methyldithio)propanal,Flavornet,estimate
1101,nonanal,VOCbinbase,experiment
1101,hotrienol,Flavornet,estimate
1101,n-nonanal,Adams Essential Oil Components,experiment
1101,perillene,Adams Essential Oil Components,experiment
1102,ethenyl-dimethylpyrazine,Flavornet,experiment
1102,Z-2-heptenyl acetate,Adams Essential Oil Components,experiment
1102,cis-thujone,Adams Essential Oil Components,experiment
1103,methyl benzoate,Flavornet,experiment
1103,isopentyl isovalerate,Adams Essential Oil Components,experiment
1103,2-phenyl propanal,Adams Essential Oil Components,experiment
1104,2-ethylhexanoic acid,VOCbinbase,experiment
1104,nonanal,Flavornet,experiment
1104,octenol,Flavornet,experiment
1104,"2,2-dimethyl-3,4-octadienal",Adams Essential Oil Components,experiment
1105,acetylthiazoline,Flavornet,experiment
1106,α-fenchocamphorone,Adams Essential Oil Components,experiment
1107,α-Terpineol,VOCbinbase,experiment
1107,sotolon,Flavornet,experiment
1107,"2,6-dimethyl phenol",Adams Essential Oil Components,experiment
1107,phenyl ethyl alcohol,Adams Essential Oil Components,experiment
1107,trans-Vetrocitral C,Adams Essential Oil Components,experiment
1108,maltol,Adams Essential Oil Components,experiment
1108,cis-rose oxide,Adams Essential Oil Components,experiment
1109,(+)-cis-rose oxide,Flavornet,estimate
1110,"2,4-octadienal",Flavornet,experiment
1110,β-Thujone,VOCbinbase,experiment
1110,trans-sabinene hydrate,Flavornet,experiment
1110,"1,3,8-p-menthatriene",Adams Essential Oil Components,experiment
1111,"p-mentha-1,3,8-triene",Lucero 2009,experiment
1112,"Benzaldehyde, dimethyl acetal",Adams Essential Oil Components,experiment
1113,"1,3,8-p-menthatriene",Lucero 2009,experiment
1113,1-octen-3-yl acetate,Adams Essential Oil Components,experiment
1113.4803921569,phenylethyl alcohol,marie standards,experiment
1114,endo-fenchol,Lucero 2009,experiment
1114,trans-thujone,Lucero 2009,experiment
1114,6-camphenol,Adams Essential Oil Components,experiment
1114,E-2-heptenyl acetate,Adams Essential Oil Components,experiment
1114,trans-thujone,Adams Essential Oil Components,experiment
1115,caprylic acid methyl ester,VOCbinbase,experiment
1115,p-menthatriene,Flavornet,experiment
1115,heptyl acetate,Adams Essential Oil Components,experiment
1115,3-methyl-3-butenyl-3-methyl butanoate,Adams Essential Oil Components,experiment
1116,Rose furan,Flavornet,estimate
1117,(-)-cis-rose oxide,Flavornet,experiment
1117,endo-fenchol,Adams Essential Oil Components,experiment
1118,2-phenylethyl alcohol,Flavornet,experiment
1118,1-phenylethanol,VOCbinbase,experiment
1118,"α,p-Dimethylstyrene",Flavornet,experiment
1118,isophorone,Lucero 2009,experiment
1119,dehydro-sabina ketone,Lucero 2009,experiment
1119,formylmethyl thiophene,Flavornet,experiment
1120,4-ethyl-6-hepten-3-one,Flavornet,estimate
1121,cis-pinene hydrate,Lucero 2009,experiment
1121,isophorone,Adams Essential Oil Components,experiment
1121,dehydro-sabina ketone,Adams Essential Oil Components,experiment
1122,"(E)-p-mentha-2,8-dien-1-ol",Flavornet,experiment
1122,2-ethyl hexanoic acid,Adams Essential Oil Components,experiment
1122,exo-fenchol,Adams Essential Oil Components,experiment
1122,cis-p-menth-2-en-1-ol,Adams Essential Oil Components,experiment
1123,chrysanthenone,Lucero 2009,experiment
1123,cis-p-menth-2-en-1-ol,Lucero 2009,experiment
1123,pinenol,Flavornet,estimate
1123,"trans-p-mentha-2,8-dien-1-ol",Adams Essential Oil Components,experiment
1123,myrcenol,Adams Essential Oil Components,experiment
1123,3-octanol acetate,Adams Essential Oil Components,experiment
1123,trans-pinene hydrate,Adams Essential Oil Components,experiment
1124,allo- neo-Ocimene,VOCbinbase,experiment
1126,menthone,Flavornet,estimate
1126,perillen,Flavornet,estimate
1126,6-campholenal,Adams Essential Oil Components,experiment
1126,trans-Rose oxide,Adams Essential Oil Components,experiment
1126,1-undecyne,Adams Essential Oil Components,experiment
1127,"2-acetyl-3,4,5,6-tetrahydropyridine",Flavornet,estimate
1127,α-Campholenal,Lucero 2009,experiment
1127,α-Campholenal,Lucero 2009,experiment
1127,α-Campholenal,Lucero 2009,experiment
1127,1-octen-3-hydroperoxide,Flavornet,experiment
1127,methyl octanoate,Adams Essential Oil Components,experiment
1128,chrysanthenone,Adams Essential Oil Components,experiment
1128,endo-2-norborneol acetate,Adams Essential Oil Components,experiment
1128,stemone,Adams Essential Oil Components,experiment
1129,2-Norbornyl acetate,Adams Essential Oil Components,experiment
1129.3504901961,allo-ocimene,marie standards,experiment
1130,γ-Heptanolactone,Flavornet,estimate
1131,nerol oxide,Flavornet,estimate
1131,octyl formate,Adams Essential Oil Components,experiment
1132,limonene oxide,Flavornet,estimate
1132,allo-ocimene,Adams Essential Oil Components,experiment
1133,4-mercapto-4-methyl-2-pentanol,Flavornet,estimate
1133,ethyl cyclohexanoate,Flavornet,experiment
1133,methyl cyclohexanecarboxylate,Flavornet,experiment
1134,trans-Rose oxide,Flavornet,experiment
1134,cis-3-Hexenyl iso-butyrate,VOCbinbase,experiment
1134,cyclohexyl propanoate,Adams Essential Oil Components,experiment
1134,1-terpineol,Adams Essential Oil Components,experiment
1134.2524509804,phenol,marie standards,experiment
1135,dihydro-linalool,Adams Essential Oil Components,experiment
1135,Z-myroxide,Adams Essential Oil Components,experiment
1135.1102941177,2-ethylphenol,marie standards,experiment
1137,(Z)-limonene oxide,Flavornet,experiment
1137,3-terpinen-1-ol,Flavornet,estimate
1137,"cis-p-mentha-2,4-dien-1-ol",Lucero 2009,experiment
1137,cis-limonene oxide,Adams Essential Oil Components,experiment
1137,3-methyl-2-isobutyl pyrazine,Adams Essential Oil Components,experiment
1138,nopinone,Lucero 2009,experiment
1138,"cis-p-mentha-2,8-dien-1-ol",Adams Essential Oil Components,experiment
1138,iso-3-thujanol,Adams Essential Oil Components,experiment
1139,(+)-(E)-limonene oxide,Flavornet,experiment
1139,camphor,Flavornet,experiment
1139,ethyl-4-hydroxymethyl- 3(2H)-Furanone,Flavornet,experiment
1139,fenchyl alcohol,Flavornet,estimate
1139,trans-pinocarveol,Lucero 2009,experiment
1139,o-cresol acetate,Adams Essential Oil Components,experiment
1139,trans-pinocarveol,Adams Essential Oil Components,experiment
1139,trans-dehydro-β-terpineol,Adams Essential Oil Components,experiment
1140,α-Fenchol,Flavornet,estimate
1140,α-Fenchol,Flavornet,estimate
1140,Amyl 2-methylbutyrate,Flavornet,estimate
1140,nopinone,Adams Essential Oil Components,experiment
1140.3799019608,limonene-oxide,marie standards,experiment
1141,trans-p-menth-2-en-1-ol,Lucero 2009,experiment
1141,trans-pinocarveol,Lucero 2009,experiment
1141,trans-pinocarveol,Lucero 2009,experiment
1141,trans-p-menth-2-en-1-ol,Adams Essential Oil Components,experiment
1141,cis-Verbenol,Adams Essential Oil Components,experiment
1142,(E)-limonene oxide,Flavornet,experiment
1142,menthone,Flavornet,estimate
1142,trans-limonene oxide,Adams Essential Oil Components,experiment
1142,trans-sabinol,Adams Essential Oil Components,experiment
1143,cis-pinene hydrate,Lucero 2009,experiment
1143,cis-verbenol,Lucero 2009,experiment
1143,cis-verbenol,Lucero 2009,experiment
1143,geijerene,Adams Essential Oil Components,experiment
1143,cis-sabinol,Adams Essential Oil Components,experiment
1144,camphor,Lucero 2009,experiment
1144,camphor,Lucero 2009,experiment
1144,β-Terpineol,Flavornet,estimate
1144,neo-allo-ocimene,Adams Essential Oil Components,experiment
1144,cis-pinene hydrate,Adams Essential Oil Components,experiment
1144,E-tagetone,Adams Essential Oil Components,experiment
1144,cis-β-Terpineol,Adams Essential Oil Components,experiment
1145,camphor,Lucero 2009,experiment
1145,5-methyl-5(H)-cyclopentapyrazine,Flavornet,experiment
1145,neoallo-ocimene,Lucero 2009,experiment
1145,p-2-menthen-1-ol,Flavornet,estimate
1145,ipsdienol,Adams Essential Oil Components,experiment
1145,4-keto-isophorone,Adams Essential Oil Components,experiment
1145,E-myroxide,Adams Essential Oil Components,experiment
1145,trans-verbenol,Adams Essential Oil Components,experiment
1146,camphor ,Lucero 2009,experiment
1146,trans-verbenol,Lucero 2009,experiment
1146,camphor,Adams Essential Oil Components,experiment
1146,veratrole,Adams Essential Oil Components,experiment
1147,2-nonenal,Flavornet,experiment
1147,"2-Methyl-3-furanthiol, acetate",Flavornet,estimate
1147,trans-verbenol,Lucero 2009,experiment
1147,trans-verbenol,Lucero 2009,experiment
1147,Z-3-hexenyl isobutanoate,Adams Essential Oil Components,experiment
1148,neo-isopulegol,Adams Essential Oil Components,experiment
1148,trans-dihydro-α-terpineol,Adams Essential Oil Components,experiment
1149,octyl acetate,Flavornet,estimate
1149,sesquiphellandrene,Flavornet,experiment
1149,"2-Nonenal, (Z)-",Adams Essential Oil Components,experiment
1150,camphene,Lucero 2009,experiment
1150,camphene hydrate,Lucero 2009,experiment
1150,camphene hydrate,Adams Essential Oil Components,experiment
1150,isopulegol,Adams Essential Oil Components,experiment
1150,p-menth-3-en-8-ol,Adams Essential Oil Components,experiment
1150,myrcenone,Adams Essential Oil Components,experiment
1151,Camphene hydrate,VOCbinbase,experiment
1151,o-(prop-1-enyl)phenol,Adams Essential Oil Components,experiment
1152,hexyl isobutanoate,Adams Essential Oil Components,experiment
1152,Z-tagetone,Adams Essential Oil Components,experiment
1152,neoiso-3-thujanol,Adams Essential Oil Components,experiment
1153,"2,6-Nonadienal, (E,Z)-",VOCbinbase,experiment
1153,citronella,Adams Essential Oil Components,experiment
1153,menthone,Adams Essential Oil Components,experiment
1154,2-nonenal,Flavornet,estimate
1154,"2,6-nonadienal",Flavornet,experiment
1154,nonanol,Flavornet,experiment
1154,2-ethyl hexyl acetate,Adams Essential Oil Components,experiment
1154,neo-3-thujanol,Adams Essential Oil Components,experiment
1155,"(E,Z)-2,6-nonadienal",Adams Essential Oil Components,experiment
1157,Octanoic acid,VOCbinbase,experiment
1157,pentyl-benzene,Adams Essential Oil Components,experiment
1157,Z-3-nonen-1-ol,Adams Essential Oil Components,experiment
1158,acetylmethylcyclohexene,Flavornet,estimate
1158,diethylmethyl pyrazine,Flavornet,experiment
1158,Isoborneol,Lucero 2009,experiment
1158,Isoborneol,Flavornet,experiment
1158,sabina ketone,Lucero 2009,experiment
1158,nerol oxide,Adams Essential Oil Components,experiment
1158,phenyl-tert-butanol,Adams Essential Oil Components,experiment
1159,(E)-2-nonenal,VOCbinbase,experiment
1159,citronellal,Flavornet,experiment
1159,homofuraneol,Flavornet,experiment
1159,karahanaenone,Adams Essential Oil Components,experiment
1159,β-pinene oxide,Adams Essential Oil Components,experiment
1159,sabina ketone,Adams Essential Oil Components,experiment
1160,"3,7-dimethylocta-3,6-dienal",VOCbinbase,experiment
1160,diethylmethylpyrazine,Flavornet,experiment
1160,iso-isopulegol,Adams Essential Oil Components,experiment
1160,2-acetyl-3-ethyl-pyrazine,Adams Essential Oil Components,experiment
1160,cis-dehydro-β terpineol,Adams Essential Oil Components,experiment
1161,4-pentenyl isothiocyanate,Flavornet,experiment
1162,(E)-2-nonenal,Flavornet,experiment
1162,benzyl acetate,Flavornet,experiment
1162,borneol,Flavornet,experiment
1162,isoborneol,Adams Essential Oil Components,experiment
1162,tetrahydro-lavandulol,Adams Essential Oil Components,experiment
1162,E-2-nonen-1-al,Adams Essential Oil Components,experiment
1163,cis-chrysanthemol,Lucero 2009,experiment
1163,cis-chrysanthemol,Lucero 2009,experiment
1163,m-cresol acetate,Adams Essential Oil Components,experiment
1163,iso-menthone,Adams Essential Oil Components,experiment
1163,trans-pinocamphone,Adams Essential Oil Components,experiment
1163,trans-β-terpineol,Adams Essential Oil Components,experiment
1164,p-Menthan-3-one,VOCbinbase,experiment
1164,pinocarvone,Lucero 2009,experiment
1164,pinocarvone,Lucero 2009,experiment
1164,cis-chrysanthenol,Adams Essential Oil Components,experiment
1164,menthofuran,Adams Essential Oil Components,experiment
1164.0931372549,benzyl acetate,marie standards,experiment
1165,acetic acid (phenylmethyl) ester,VOCbinbase,experiment
1165,borneol,Lucero 2009,experiment
1165,pinocarvone,Adams Essential Oil Components,experiment
1165,cis-dihydro-α terpineol,Adams Essential Oil Components,experiment
1165.2573529412,"1,4-dimethoxybenzene",marie standards,experiment
1166,borneol,Lucero 2009,experiment
1166,p-cymenol,Flavornet,experiment
1166,"1,4-dimethoxybenzene",Adams Essential Oil Components,experiment
1166,neo-menthol,Adams Essential Oil Components,experiment
1166,δ-Terpineol,Adams Essential Oil Components,experiment
1167,"2,6-nonadienol",Flavornet,experiment
1167,1-nonanol,VOCbinbase,experiment
1167,borneol,Lucero 2009,experiment
1167,diethyl succinate,Flavornet,experiment
1167,nonadienol,Flavornet,experiment
1168,borneol,Lucero 2009,experiment
1168,borneol,Lucero 2009,experiment
1168,cis-isocitral,Flavornet,estimate
1168,"2,6-dimethyl aniline",Adams Essential Oil Components,experiment
1169,camphene hydrate,Flavornet,estimate
1169,ethylphenol,Flavornet,experiment
1169,pinocarveol,Flavornet,estimate
1169,"1,3-dimethoxy benzene",Adams Essential Oil Components,experiment
1169,borneol,Adams Essential Oil Components,experiment
1169,n-nonanol,Adams Essential Oil Components,experiment
1169,3-thujanol,Adams Essential Oil Components,experiment
1170,butanedioic acid diethyl ester,VOCbinbase,experiment
1170,2-methyl-3-(methyldithio)furan,Flavornet,experiment
1170,"p-mentha-1,5-dien-8-ol",Adams Essential Oil Components,experiment
1170,pinocampheol,Adams Essential Oil Components,experiment
1171,ethyl-benzoate,Lucero 2009,experiment
1171,ethyl-benzoate,Lucero 2009,experiment
1171,ethylbenzaldehyde,Flavornet,experiment
1171,l-menthol,Flavornet,estimate
1171,p-cresol acetate,Adams Essential Oil Components,experiment
1171,neoiso-isopulegol,Adams Essential Oil Components,experiment
1171,umbellulone,Adams Essential Oil Components,experiment
1171.875,1-nonanol,marie standards,experiment
1172,(E)-linalool oxide,Flavornet,experiment
1172,methyldithiofurane,Flavornet,experiment
1172,menthol,Adams Essential Oil Components,experiment
1173,Artemisyl acetate,Adams Essential Oil Components,experiment
1173,ethyl benzoate,Adams Essential Oil Components,experiment
1174,isopinocamphone,Lucero 2009,experiment
1174,furfuryl butanoate,Adams Essential Oil Components,experiment
1174,"cis-Linalool Oxide, pyranoid",Adams Essential Oil Components,experiment
1175,cis-pinocamphone,Adams Essential Oil Components,experiment
1175,santolinyl acetate,Adams Essential Oil Components,experiment
1176,"linalool oxide, trans-pyranoid",VOCbinbase,experiment
1176,"Pyrazine, 2-methoxy-3-(1-methylpropyl)-",Flavornet,experiment
1176,phenylethylthiol,Flavornet,experiment
1176,2-phenyl ethyl formate,Adams Essential Oil Components,experiment
1177,terpinen-4-ol,Lucero 2009,experiment
1177,terpinen-4-ol,Lucero 2009,experiment
1177,trans-linalool oxide (pyranoid),Adams Essential Oil Components,experiment
1177,rosefuran epoxide,Adams Essential Oil Components,experiment
1177,terpinen-4-ol,Adams Essential Oil Components,experiment
1178,(epoxymethylbutyl)-methylfuran,Flavornet,estimate
1178,(Z)-3-hexenyl butanoate,Flavornet,experiment
1178,terpene-4-ol,Lucero 2009,experiment
1178,terpene-4-ol,Lucero 2009,experiment
1178,terpene-4-ol,Lucero 2009,experiment
1178,terpene-4-ol,Lucero 2009,experiment
